,Year,Film,Artist,Director,Producer,Music composer
121,1996,Nirmaya,"Shree Krishna Shrestha, Saranga Shrestha",Narayan Puri,,
122,1996,Nirmohi,"Dinesh Sharma, Jal Shah, Saroj Khanal",Nayan Raj Pandey,,
123,1996,Paachuri (Sawl),"Shiv Shrestha, Bhuwan K.C., Kristi Mainali, Nabina Shrestha",Banni Pradhan,Amrita Cine Arts,Yujin Lama
124,1996,Prateeksha (Waiting),Karishma Manandhar,Raj Bikram Shah,,
125,1996,Raanko,"Shiv Shrestha, Bhuwan K.C., Gauri Malla, Mithila Sharma, Bijaya Lama, Kristi Mainali",Kishore Rana,,
126,1996,Rahar (Wish),Niruta Singh,Tulsi Ghimire,Ajambari Films,Ranjit Gazmer
127,1996,Sun Chandi (Gold Silver),"Shree Krishna Shrestha, Saranga Shrestha",Sambhu Pradhan,Ishwori Films,Sambhujeet Baskota
128,1996,Gothalo (Cowboy),"Krishna Malla, Sarmila Malla, Saroj Khanal, Shree Krishna Shrestha",Ujwal Ghimire,Cine Concern,Sambhujeet Baskota
129,1996,Yo Maya Le Launa Satayo (This love irritated me),,Deepak Rayamajhi,,
130,1997,Allare,"Rajesh Hamal, Karishma Manandhar, Ashok Sharma, Shrisha Karki",Ashok Sharma,,Sambhujeet Baskota
131,1997,Bishalu,,Dev Kuamr Shrestha,,
132,1997,Chandal[12],"Rajesh Hamal, Karishma Manandhar, Anita Silwal",Arun Kumar Jha,,
133,1997,Chahaari,,,,
134,1997,Daiba Sanyog,"Manju Kumar Shrestha, Sunny Rauniyar",,,
135,1997,Dauntari,,,,
136,1997,Des Pardes,"Dhiren Shakya, Karishma Manandhar",Yuva Raj Lama,,
137,1997,Deurali,,Yuva Raj Lama,,
138,1997,Guru Chela,"Shree Krishna Shrestha, Saranga Shrestha",,,Sambhujeet Baskota
139,1997,Ishwor,"Shiva Shrestha, Jal Shah",,,Arjun Basnet
140,1997,Jalan,Dinesh Sharma,Mukunda Bastakoti,,
141,1997,Jameen,"Dhiren Shakya, Bipana Thapa",,,Prakash Sayami
142,1997,Jun Tara,"Rajesh Hamal, Dhiren Shakya, Neer Shah",Ramesh Budathoki,,
143,1997,Khelauna,,Yuva Raj Lama,,
144,1997,Miteri Gaun,"Shiv Shrestha, Pooja Chand, Pabitra Subba",Gagan Birahi,,
145,1997,Naaso,"Shiv Shrestha, Karishma Manandhar, Saranga Shrestha",Yadav Kharel,,
146,1997,Pocketmaar,"Dinesh Sharma, Shree Krishna Shrestha",Raju Dhowj Rana,,
147,1997,Parai Ghar,"Jal Shah, Ramesh Upreti",Deepak Rayamajhi,,
148,1997,Rajkumar,"Dhiren Shakya, Karishma Manandhar, Pooja Chand",,,
149,1997,Bandhan,"Dinesh Sharma, Rajesh Hamal, Karishma Manandhar, Melina Manandhar",Resh Raj Acharya,,
150,1997,Seema Rekha,"Sanu Baba, Sudhamshu Joshi",Rajani Rana,Kishore Rana,
151,1997,Shankar,"Rajesh Hamal, Jal Shah, Bipana Thapa",Narayan Puri,,
152,1998,Ansha Banda,,Suraj Subba,,
153,1998,Malati,"Dinesh Sharma, Shiv Shrestha",Anil Sangraula,,
154,1998,Bahadur,,Ashok Shrestha,,Tika Bhandari
155,1998,Bhanu Bhakta,"Dilip Rayamajhi (debut), Anita Silwal (debut)",Yadav Kharel,,
156,1998,Chamatkar,,,,
157,1998,Chor,"Rajesh Hamal, Bipana Thapa",Raj Kumar Sharma,,
158,1998,Devdut (God's Messenger),"Shree Krishna Shrestha, Bipana Thapa, Ramesh Upretti, Yubaraj Lama",Yuva Raj Lama,,
159,1998,Dulaha Raja Dulahi Rani,Bipana Thapa,Yuva Raja Lama,,
160,1998,Filim,,"Madan Krishna Shrestha, Hari Bansa Acharya",,
161,1998,Gaunle,"Rajesh Hamal, Bipana Thapa",Deepak Shrestha,Laxmi Puj Films,Tika Bhandari
162,1998,Ghaam Chayan,,Kishore Rana,,
163,1998,Jeet,"Shree Krishna Shrestha, Bipana Thapa, Ramesh Upreti",Laxminath Sharma,,Tika Bhandari
164,1998,Mr Ram Krishne,"Rajesh Hamal, Karishma Manandhar, Ashok Sharma, Saranga Shrestha",Ashok Sharma,,Shambhujeet Baskota
165,1998,Nayak,,Manju Kumar Shrestha,,
166,1998,Pardesi,,,,
167,1998,Pardesi Kancha,"Rajesh Hamal, Karishma Manandhar",,Karishma Films,Tika Bhandari
168,1998,Rana Bhoomi,,Aakash Adhikari,,
169,1998,Rani Khola,"Melina Manandhar, Bipana Thapa",,,
170,1998,Saathi,Rajesh Hamal,,,
171,1998,Sagun,"Shiv Shrestha, Bipana Thapa",,,
172,1998,Kasto Samjhauta,,Deepak Rayamajhi,,
173,1998,Shikhar,"Shree Krishna Shrestha, Shyaroon Sherpa",Gagan Birahi,,"
"
174,1998,Sindur Pote,,Raju Dhowj Rana,,
175,1998,Suraksha,"Dinesh Sharma, Niruta Singh, Sunil Thapa",Armit Sharma,,
176,1998,The Commando,,JayBee Rai,Basanti Rai,Sachin Singh
177,1998,Thuldai,"Shiv Shrestha, Jal Shah, Niruta Singh",Dayaram Dahal,K.B. Pandit,Shambhujeet Baskota
178,1999,Afanta,"Niruta Singh, Shree Krishna Shrestha",Shiva Regmi,,
179,1999,Apsara,"Bipana Thapa, Sanchita Luitel (debut), Ramesh Upreti",,,Sambhujeet Baskota
180,1999,Awara,,Bijaya Thapa,,
181,1999,Bhai,Sushil Chhetri (debut),Deepak Shrestha,,Tika Bhandari
182,1999,Chalachitra,,Biswa Basnet,,
183,1999,Chameli,,Ravi Baral,,
184,1999,Nepali Babu,"Dinesh Sharma, Bhuwan KC, Sunil Thapa",Yugen Chhopel,Bhuwan KC,
185,1999,Chandani,"Rajesh Hamal, Niruta Singh",Daya Ram Dahal,,
186,1999,Chhori Buhari,"Rajesh Hamal,Puja Chand, Nir Shah,Sunil Thapa",Laxmikant Sharma,,
187,1999,Dharam Sankat,Rajesh Hamal,Resh Raj Acharya,,
188,1999,Dharmaputra,"Dinesh Sharma, Rajesh Hamal, Niruta Singh",Yuva Raj Lama,,
