,Title,Year,Genre,Director,Cast,Movie_id
127,Baacha Bandhan,(2002),,er Bikram Sha,['Neer Bikram Shah'],/title/tt0315241/
128,Bhagya Le Jurayo,(2002),,"Resh Raj Acharya
                 |","['Rajesh Hamal', 'Arjun Shrestha']",/title/tt0315284/
129,Anjuli,(2002),,"Thirtha Thapa
                 |","['Jharana Bajracharya', 'Sushil Chhetri', 'Nabeen Shrestha']",/title/tt0315194/
130,Sahid Gate,(2002),,"Rajkumar Sharma
                 | 
    Star:
Bipana Thap",['tor:\nRajkumar Sharma\n                 | \n    Star:\nBipana Thapa'],/title/tt0314604/
131,BabuSaheb,(2002),,"Ramesh Budathoki
                 |","['Bhuwan K.C.', 'Karishma Manandhar', 'Harihar Sharma']",/title/tt0313240/
132,Mohani Lagla Hai,(2002),,Kundan Khane,['tor:\nKundan Khanel'],/title/tt0316270/
133,Mero Hajur,(2002),,"s:
Narayan Puri, 
Anupama Koirala Prasai
                 |","['Jharana Bajracharya', 'Anupama Prasai Koirala']",/title/tt0316240/
134,Ajambhari Maya,(2002),,Deepak Shresth,['tor:\nDeepak Shrestha'],/title/tt0315156/
135,Hateri,(2002),,"Yadav Kharel
                 |","['Rajesh Hamal', 'Rejina Uprety']",/title/tt0325526/
136,Yastai Rahecha Jindagi,(2002),,,[''],/title/tt0314917/
137,Pheri Temro Yaad Aayo,(2002),,"Ramesh Budathoki
                 | 
    Star:
Dinesh D.C",['tor:\nRamesh Budathoki\n                 | \n    Star:\nDinesh D.C.'],/title/tt0325972/
138,Muna Madan,(2003),Drama,"Gyanendra Bahadur Deuja
                 |","['Deepak Tripathi', 'Usha Paudel', 'Mithila Sharma', 'Subhadra Adhikari']",/title/tt0304435/
139,Dui Kinara,(2003),"Drama, Romance","Tulsi Ghimire
                 |","['Tulsi Ghimire', 'Jeetu Nepal', 'Niruta Singh', 'Suman Singh']",/title/tt8165420/
140,Pahuna,(2003),Drama,"Shiva Regmi
                 |","['Shree Krishna Shrestha', 'Jharana Thapa', 'Dilip Rayamajhi', 'Karishma Manandhar']",/title/tt8374716/
141,Jetho Kancha,(2003),"Comedy, Drama","Dayaram Dahal
                 |","['Rajesh Hamal', 'Sushila Raimajhi', 'Jal Shah', 'Mukund Shrestha']",/title/tt0382764/
142,Dukha,(2003),Drama,"Deepak Shrestha
                 |","['Hemanta Budhathoki', 'Rajesh Hamal', 'Dilip Rayamajhi', 'Niruta Singh']",/title/tt6620274/
143,Je Bho Ramrai Bho,(2003),"Action, Comedy","Hari Bansha Acharya
                 |","['Hari Bansha Acharya', 'Laxmi Giri', 'Rajesh Hamal', 'Jal Shah']",/title/tt0452803/
144,Hami Tin Bhai,(2004),"Action, Comedy","Shiva Regmi
                 |","['Rajesh Hamal', 'Shree Krishna Shrestha', 'Nikhil Upreti', 'Jharana Thapa']",/title/tt7471552/
145,Sukha Dukha,(2004),Drama,"Shiva Regmi
                 |","['Keshab Bhattarai', 'Shree Krishna Shrestha', 'Mithila Sharma', 'Madan Krishna Shrestha']",/title/tt8254094/
146,Pareni Maya Jalaima,(2004),Romance,"s:
Ram Sharan Ghimire, 
Prithvi Rana
                 |","['Dilip Rayamajhi', 'Uttam Pradhan', 'Jharana Bajracharya', 'Mithila Sharma']",/title/tt0427636/
147,Muglan,(2005),Drama,"Shiva Regmi
                 |","['Dilip Rayamajhi', 'Ramit Dhungana', 'Sushil Chhetri', 'Jharana Thapa']",/title/tt8374226/
148,Heavenly Place Manang,(2005),Adventure,"Jaswant Dev Shrestha
                 |","['Binod Gurung', 'Jaswant Dev Shrestha']",/title/tt1679201/
149,Basain,(2005),Drama,"Subash Gajurel
                 |","['Mukunda Bastakoti', 'Dinesh D.C.', 'Ranju Lamichhane', 'Uttam Pradhan']",/title/tt0485092/
150,Soltini,(2005),"Action, Romance",,[''],/title/tt1039910/
151,Krodh,(2006),,"Akash Adhikari
                 |","['Akash Adhikari', 'Shanti Maskey', 'Usha Paudel', 'Jal Shah']",/title/tt0888035/
152,Duniya,(2006),Drama,"Shiva Regmi
                 |","['Laxmi Giri', 'Bhuwan K.C.', 'Tripti Nadakar', 'Mithila Sharma']",/title/tt8374342/
153,Alpaviram,(2006),Drama,"Narayan Puri
                 |","['Sunil Pokharel', 'Vijay Lama', 'Rama Thapalia', 'Samyam Puri']",/title/tt0888000/
154,Manish,(2006),Drama,"Shiva Regmi
                 |","['Bhuwan K.C.', 'Nikhil Upreti', 'Dilip Rayamajhi', 'Ramit Dhungana']",/title/tt27075904/
155,O Estado do Mundo,(2007),"Drama, History","s:
Ayisha Abraham, 
Chantal Akerman, 
Wang Bing, 
Pedro Costa, 
Vicente Ferraz, 
Apichatpong Weerasethakul
                 |","['Shyam Bahadur', 'Jurandyr Ferreira', 'Sakda Kaewbuadee', 'Wake Li']",/title/tt1058526/
156,Dewar Babu,(2007),"Drama, Romance","Gyanendra Bahadur Deuja
                 |","['Biraj Bhatta', 'Ramit Dhungana', 'Rekha Thapa', 'Tripti Nadakar']",/title/tt7341216/
157,Kismat,(2007),Drama,"Ujwal Ghimire
                 |","['Biraj Bhatta', 'Jeetu Nepal', 'Neer Bikram Shah', 'Harihar Sharma']",/title/tt8782260/
158,The Commando,(2007),Action,"Jaybee Rai
                 | 
    Star:
Raj Kumar Ra",['tor:\nJaybee Rai\n                 | \n    Star:\nRaj Kumar Rai'],/title/tt4324078/
159,Himalayan Kingdom of Nepal,(2007),"Action, Comedy, Drama","Dayaram Dahal
                 |","['Rajesh Hamal', 'Dhiren Shakya', 'Sudhanshu Joshi', 'Deepak Raj Giri']",/title/tt10726106/
160,Kagbeni,(2008),"Drama, Horror","Bhusan Dahal
                 |","['Saugat Malla', 'Deeya Maskey', 'Nima Rumba', 'Asha Magrati']",/title/tt1729652/
161,Himmat,(2008),Drama,"Deepak Shrestha
                 |","['Biraj Bhatta', 'Hemanta Budhathoki', 'Ramit Dhungana', 'Dinesh Sharma']",/title/tt8359454/
162,Sano Sansar,(2008),"Comedy, Romance","Alok Nembang
                 |","['Karma Shakya', 'Namrata Shrestha', 'Neer Bikram Shah', 'Jiwan Luitel']",/title/tt2007994/
163,Himalayaeui sonyowa,(2008),Drama,"Soo-il Jeon
                 |","['Choi Min-sik', 'Hamo Gurung', 'Namgya Gurung', 'Tsering Kipale Gurung']",/title/tt1179079/
164,Kaha Bhetiyela,(2008),Drama,"Shiva Regmi
                 |","['Rabi Giri', 'Shweta Khadka', 'Shree Krishna Shrestha', 'Sajwal Pageni']",/title/tt8374202/
165,Ma Timi Bina Marihalchu,(2008),Drama,"Dayaram Dahal
                 |","['Bhuwan K.C.', 'Sushmita K.C.', 'Sushila Rayamajhi', 'Laya Sangraula']",/title/tt8822102/
166,Iku the Jungle Man,(2008),Comedy,Sagar Lamichan,['tor:\nSagar Lamichane'],/title/tt10371222/
167,Maina,(2008),Biography,"K.P. Pathak
                 |","['Anita K.C.', 'Govinda Prabhat', 'Radha Shrestha', 'Kumar Maharjan']",/title/tt6710198/
