,Year,Film,Cast,Director,Genre
205,2000,Mann Mero Mandaina,"Dinesh Sharma, Bipana Thapa",Desh Bhakta Khanal,
206,2000,Tan Ta Sarai Bigris Ni Badri,"Bhuwan K.C., Sushmita K. C., Bipana Thapa, Hari Bansha Acharya",,
207,2000,Upkaar,"Rajesh Hamal, Karishma Manandhar, Shree Krishna Shrestha, Niruta Singh, Mithila Sharma
Sajjal Pant  (Child artist)",Kishore Rana,
208,2000,Shahar,"Dinesh Sharma, Puja Chand",Suman Sarkar,
209,2000,Anjanai maa Maya Basla hai,"Dinesh Sharma, Dilip Raymajhi",Chandra Prakash,
210,2001,Aafno Manchhe,"Bipana Thapa, Dilip Rayamajhi, Shree Krishna Shrestha, Niruta Singh Rejina Uprety",Shiva Regmi,
211,2001,Aashirbad,"Dinesh Sharma, Ram Krishna Dhakal, Rajesh Hamal, Jal Shah, Sanchita Luitel",Sambhu Pradhan,
212,2001,Afno Ghar Afno Manche,,Narayan Puri,
213,2001,Ladai,"Dinesh Sharma, Sushil Chhetri",Badri Adhikari,
214,2001,Army (2001 film),"Dinesh Sharma, Lokendra Karki, Jal Shah",Shovit Basnet,
215,2001,Badal Paree,"Bhuwan K.C., Jal Shah, Neer Shah",Ugyen Chopel,
216,2001,Beimani,"Shiva Shrestha, Shrisha Karki, Shree Krishna Shrestha, Bipana Thapa",Bijay Chalise,
217,2001,Bihani,,,
218,2001,Buhari,"Shree krishna Shrestha, Sunil Thapa, Neer Shah",,
219,2001,Daag,"Dinesh Sharma, Dhiren Shakya, Jal Shah, Rajani Rana",,
220,2001,Daiva Sanjog,,Manju Kumar Shrestha,
221,2001,Darpan Chaya,"Niruta Singh, Uttam Pradhan, Tulsi Ghimire, Dilip Rayamajhi",Tulsi Ghimire,
222,2001,Gaajal,"Ramesh Uprety, Bipana Thapa, Sushil Chhetri",K P Pathak,
223,2001,Gaunthali,,Dr.Bhola Rijal,
224,2001,Haudey,"Dinesh Sharma, Ishwor Shrestha",Suraj Subba,
225,2001,Jeevan Saathi,,Deepak Shrestha,
226,2001,Kaidi,"Dhiren Shakya, Kshitiza Shakya, Shrisha Karki",Manoj Khadka,
227,2001,Ke Bho Lau Na Ni,"Dinesh Sharma, Anupama Koirala, Sushil Chhetri, Shiva Shrestha",Anish Koirala,
228,2001,Manai Ta Ho,,"Bipana Thapa, Nawal Khadka, Ramesh Upreti",
229,2001,Maya Baiguni,"Rajesh Hamal, Dhiren Shakya, Simanta Udash, Bina Basnet, Shrisha Karki",Subhash Gajurel,
230,2001,Maya Ko Saino,,Resh Raj Aacharya,
231,2001,Natedar,"Shiva Shrestha, Puja Chand, Dilip Raimajhi",Mukunda Bastakoti,
232,2001,Nepal Pyaro Chha,"Dinesh Sharma, Rajesh Hamal, Jal Shah, Ramesh Upreti",Sambhu Pradhan,
233,2001,Numafung,Alok Nembang,Nabin Subba,
234,2001,Pirati Aafai Hudon Rahechha,,Raju Dhowj Rana,
235,2001,Siudo Ko Sindoor,"Rajesh Hamal, Niruta Singh, Jharana Bajracharya, Neer Shah, Ratan Subedi, Basundhara Bhushal",Manju Kumar Shrestha,
236,2001,SuperStar,"Bhuwan K.C., Sushmita K. C.",Anish Koirala,
237,2001,Timrai Lagi,,Uday Subba,
238,2001,Kasto Saino,Rajesh Hamal,Madan Ghimire,
239,2001,Yo Maya Ko Sagar,"Jal Shah, Ramesh Upreti",Ashok Sharma,
240,2002,Susmita Ko Life,"Niruta Singh, Uttam Pradhan",Deepak Shrestha,
241,2002,Maya Baiguni,"Dhiraj Shrestha, Bina Budhathoki, Shrisha Karki",Subash Gajurel,
242,2002,Anjuli,,,
243,2002,Baacha Bandhan,"Dhiren Shakya, Shrisha Karki, Shanti Maskey, Basundhara Bhusal, Rajaram Paudel",,
244,2002,Babu Saheb,"Bhuwan K.C., Karishma Manandhar, Sushmita K.C.",Ramesh Budathoki,
245,2002,Bakshish,,,
246,2002,Bhagya Le Jurayo,"Rajesh Hamal, Rejina Uprety",Resh Raj Acharya,
247,2002,Bhai Tika,,Laxmi Nath Sharma,
248,2002,Bir Ganeshman,Manoj RC,"Sahajman Shrestha, Bijayratna Tuladhar",
249,2002,Dhan Sampati,"Dilip Rayamajhi, Rejina Uprety",,
250,2002,Hateri,"Rajesh Hamal, Rejina Uprety, Puja Chand",,
251,2002,Khandan,"Rajesh Hamal, Niruta Singh, Rejina Uprety, Sushil Chhetri",Yuva Raj Lama,
252,2002,Maan,"Dinesh Sharma, Rejina Uprety, Uttam Pradhan, Jay Kishan Basnet",Sovit Basnet,
253,2002,Malai Maaf Garidau,,Bijay Thapa,
254,2002,Malati,"Dinesh Sharma, Shiva Shrestha, Jal Shah, Shrisha Karki",Anil Sangraula,
255,2002,Mama Bhanja,,,
256,2002,Mamaghar,"Shiv Shrestha, Gauri Malla, Dilip Rayamajhi, Melina Manandhar",,
257,2002,Man Mandir,,,
258,2002,Maya Namara,,,
259,2002,Melong,,,
260,2002,Mitini,"Bipana Thapa, Dilip Rayamajhi",Anish Koirala,
261,2002,Mohani Lagla Hai,,Kundan Khanal,
262,2002,Muskan,"Bipana Thapa, Sushil Chhetri, Dilip Rayamajhi Rejina Uprety",Yuvaraj Lama,
263,2002,Pheri Timro Yaad Aayo,,Ramesh Budathoki,
264,2002,Pijanda,"Nikhil Upreti (debut), Niruta Singh",,
265,2002,Pooja,,Deepak Rayamajhi,
266,2002,"Rickshaw Puller, The",,,
267,2002,Sahid Gate,,Raj Kumar Sharma,
268,2002,Santan Ko Maya,"Dinesh Sharma, Rajesh Hamal, Sarita Lamichhane, Puja Chand",Kishore Rana,
269,2002,Sanyas,"Rajesh Hamal, Gauri Malla, Jal Shah, Rejina Uprety",Shambhu Pradhan,
270,2002,Shadhyantra,,Suneel Pandey,
271,2002,Yestai Rahecha Jindagi,,Biswa Basnet,
272,2002,Andhi Tufan,"Dinesh Sharma, Richa Ghimire",,
273,2002,Santan Thari Thari Ka,"Dinesh Sharma, Dilip Ray Majhi",,
274,2002,Ye Mero Hajur,"Shree Krishna Shrestha, Jharna Thapa",Shiva Regmi,
275,2003,Je Bho Ramrai Bho,"Hari Bansha Acharya, Rajesh Hamal, Jal Shah, Madan Krishna Shrestha",Hari Bansha Acharya,
276,2003,Jetho Kancha,"Shiv Shrestha Rajesh Hamal, Jal Shah",Dayaram Dahal,
277,2003,Muna Madan,"Deepak Tripathi, Usha Paudel",Gyanendra Bahadur Deuja,
278,2003,Bhagya,"Dinesh Sharma, Nikhil Upreti",Prakash Bhattarai,
279,2003,Shukha Dukha,"Madan Krishna Shrestha, Mithila Sharma, Shree Krishna Shrestha, Jharana Thapa",Shiva Regmi,
280,2003,Upahar,"Niruta Singh, Uttam Pradhan, Sushil Chhetri",Shiva Regmi,
